City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,ribeira grande,38.5167,-28.7,13.21,67,100,2.24,PT,1740624707
142,port mathurin,-19.6833,63.4167,27.64,82,100,8.38,MU,1740624708
143,ondjiva,-17.0667,15.7333,19.24,80,100,1.6,AO,1740624709
144,miri,4.4148,114.0089,29.08,79,40,4.63,MY,1740624679
145,mana,5.6592,-53.7767,24.91,83,10,4.68,GF,1740624711
146,aromashevo,56.8602,68.6375,-16.83,98,100,1.33,RU,1740624712
147,yambio,4.5721,28.3955,24.48,34,62,1.44,SS,1740624713
148,raja,8.4596,25.678,24.55,26,54,1.31,SS,1740624714
149,lubango,-14.9172,13.4925,15.86,56,99,1.37,AO,1740624715
150,geraldton,-28.7667,114.6,29.23,58,69,8.23,AU,1740624716
151,neftcala,39.3742,49.2472,2.09,95,100,7.28,AZ,1740624717
152,shimokizukuri,40.8061,140.3861,5.29,57,99,8.23,JP,1740624718
153,armacao de buzios,-22.7469,-41.8817,24.19,90,24,6.98,BR,1740624719
154,ujae,8.9322,165.7642,27.46,79,59,9.93,MH,1740624720
155,kone,-21.0595,164.8658,33.29,52,66,3.88,NC,1740624721
156,hastings,50.8552,0.5729,3.28,86,3,6.71,GB,1740624722
157,corner brook,48.9667,-57.9484,-4.71,93,100,6.82,CA,1740624723
158,sherman,33.6357,-96.6089,17.88,45,75,4.63,US,1740624554
159,ulsteinvik,62.3432,5.8487,6.07,84,100,0.45,NO,1740624725
160,utrik,11.2278,169.8474,26.68,82,36,8.96,MH,1740624726
161,dongola,19.1667,30.4833,18.89,18,100,7.51,SD,1740624727
162,aasiaat,68.7098,-52.8699,-15.4,97,100,3.56,GL,1740624728
163,baruun-urt,46.6806,113.2792,-4.03,38,3,5.44,MN,1740624729
164,flying fish cove,-10.4217,105.6791,27.82,89,71,3.09,CX,1740624730
165,taganrog,47.2362,38.8969,-10.14,90,11,2.22,RU,1740624731
166,ta`u,-14.2336,-169.5144,27.85,79,80,5.71,AS,1740624733
167,brisas de zicatela,15.8369,-97.0419,26.55,77,0,1.99,MX,1740624734
168,kodiak,57.79,-152.4072,3.73,70,0,6.69,US,1740624735
169,urumqi,43.801,87.6005,-4.47,68,100,2.0,CN,1740624514
170,harlingen,26.1906,-97.6961,21.14,86,0,5.66,US,1740624447
171,papao,-17.75,-149.55,30.82,76,100,8.0,PF,1740624738
172,mount isa,-20.7333,139.5,34.87,28,5,6.17,AU,1740624739
173,papatowai,-46.5619,169.4708,18.72,53,100,4.44,NZ,1740624740
174,vallenar,-28.5708,-70.7581,21.61,68,0,1.01,CL,1740624741
175,la ronge,55.1001,-105.2842,-5.86,79,40,3.09,CA,1740624742
176,watsa,3.0372,29.5355,21.32,36,71,1.28,CD,1740624743
177,kitimat,54.0524,-128.6534,4.83,29,100,1.34,CA,1740624744
178,iskateley,67.6803,53.1512,-1.48,97,100,5.38,RU,1740624745
179,brooks,50.5834,-111.8851,0.99,86,64,2.06,CA,1740624746
180,bandon,51.7469,-8.7425,3.77,88,6,2.3,IE,1740624747
181,gokwe,-18.2048,28.9349,18.6,96,100,0.88,ZW,1740624748
182,dunedin,-45.8742,170.5036,17.67,68,74,1.79,NZ,1740624749
183,afaahiti,-17.75,-149.2833,26.97,78,92,7.12,PF,1740624750
184,el granada,37.5027,-122.4694,17.9,62,20,0.45,US,1740624751
185,vikhorevka,56.1201,101.1636,-23.07,85,22,3.45,RU,1740624752
186,haiku-pauwela,20.9219,-156.3051,26.76,70,40,4.12,US,1740624753
187,enewetak,11.3474,162.3373,26.95,80,100,8.99,MH,1740624754
188,callao,-12.0667,-77.15,25.4,88,75,3.6,PE,1740624105
189,howard springs,-12.497,131.047,31.95,59,4,2.53,AU,1740624756
190,bantogon,6.5333,124.0333,28.52,71,100,2.92,PH,1740624757
191,mazagao,-0.115,-51.2894,22.66,91,72,1.77,BR,1740624758
192,twon-brass,4.3151,6.2418,28.11,76,99,4.38,NG,1740624759
193,naracoorte,-36.9579,140.7383,28.41,21,96,3.47,AU,1740624760
194,naberera,-4.2,36.9333,15.18,82,2,1.29,TZ,1740624761
195,gorontalo,0.5412,123.0595,30.8,59,100,0.98,ID,1740624762
196,cabo san lucas,22.8909,-109.9124,21.53,46,0,4.18,MX,1740624601
197,mammoth lakes,37.6485,-118.9721,2.97,46,0,2.57,US,1740624534
198,ocean shores,46.9737,-124.1563,10.74,78,100,2.35,US,1740624765
199,bridgewater,44.3835,-64.5155,1.82,76,91,8.23,CA,1740624551
200,souillac,-20.5167,57.5167,26.21,94,75,1.54,MU,1740624768
201,mpulungu,-8.7623,31.1141,21.63,81,100,1.84,ZM,1740624769
202,chonchi,-42.6128,-73.8092,12.84,85,100,0.92,CL,1740624770
203,huai khot,15.2909,99.6166,30.42,44,82,2.28,TH,1740624771
204,pemba,-12.974,40.5178,25.42,85,100,7.43,MZ,1740624772
205,arsen'yev,44.1631,133.2733,2.79,47,83,4.24,RU,1740624773
206,severo-yeniseyskiy,60.3725,93.0408,-27.58,89,22,1.66,RU,1740624774
207,tilcara,-23.5776,-65.3509,10.31,92,100,1.85,AR,1740624775
208,santana,-0.0583,-51.1817,26.1,83,0,3.09,BR,1740624776
209,waingapu,-9.6567,120.2641,29.57,67,7,2.41,ID,1740624777
210,peniche,39.3558,-9.3811,11.78,87,92,3.69,PT,1740624778
211,nabire,-3.3667,135.4833,26.46,81,98,0.93,ID,1740624779
212,kot diji,27.3427,68.7083,24.67,37,99,3.59,PK,1740624780
213,la peca,-5.6111,-78.435,20.4,87,98,1.22,PE,1740624781
214,santa cruz,-17.8,-63.1667,26.7,89,20,2.57,BO,1740624736
215,la'ie,21.6477,-157.9253,27.98,78,3,1.34,US,1740624783
216,cozumel,20.5083,-86.9458,23.48,67,0,3.57,MX,1740624667
217,noumea,-22.2763,166.4572,25.63,85,66,6.24,NC,1740624785
218,st. john's,47.5649,-52.7093,4.43,95,100,19.03,CA,1740624786
219,saipan,15.1355,145.701,29.39,81,75,9.77,MP,1740624787
220,ca mau,9.1769,105.15,32.08,45,11,6.84,VN,1740624788
221,happy valley-goose bay,53.3168,-60.3315,-12.83,56,40,6.69,CA,1740624789
222,al burayqah,30.4062,19.5739,12.88,51,100,3.55,LY,1740624790
223,chaozhou,23.6651,116.6379,16.92,71,99,0.51,CN,1740624791
224,vorkuta,67.5,64.0,-13.9,96,100,4.82,RU,1740624793
225,kandyagash,49.4744,57.4233,-6.3,97,100,4.44,KZ,1740624794
226,nguti,5.3299,9.4185,22.63,91,100,0.86,CM,1740624795
227,medina de pomar,42.9294,-3.488,5.12,69,100,1.12,ES,1740624796
228,karratha,-20.7377,116.8463,37.59,36,91,2.54,AU,1740624797
229,tolanaro,-25.0319,46.9987,27.04,83,75,9.26,MG,1740624798
230,lucea,18.451,-78.1736,25.92,82,10,3.69,JM,1740624799
